Name,Build
ESXi 7.0 Update 3e,19898904
ESXi 7.0 Update 3d,19482537
ESXi 7.0 Update 3c,19193900
ESXi 7.0 Update 3b,18905247
ESXi 7.0 Update 3a,18825058
ESXi 7.0 Update 3,18644231
ESXi 7.0 Update 2d,18538813
ESXi 7.0 Update 2c,18426014
ESXi 7.0 Update 2c (Security Only),18295176
ESXi 7.0 Update 2a,17867351
ESXi 7.0 Update 2,17630552
ESXi 7.0 Update 1d,17551050
ESXi 7.0 Update 1c,17325551
ESXi 7.0 Update 1c (Security Only),17325020
ESXi 7.0 Update 1b,17168206
ESXi 7.0 Update 1a,17119627
ESXi 7.0 Update 1,16850804
ESXi 7.0b,16324942
ESXi 7.0b (Security Only),16321839
ESXi 7.0 GA,15843807
ESXi 7.0 for ARM Fling v1.5,18427252
ESXi 7.0 for ARM Fling v1.4,18175197
ESXi 7.0 for ARM Fling v1.3,17839012
ESXi 7.0 for ARM Fling v1.2,17230755
ESXi 7.0 for ARM Fling v1.1,17068872
ESXi 7.0 for ARM Fling v1.0,16966451
ESXi 6.7 November 2021 Patch,18828794
ESXi 6.7 November 2021 Patch (Security Only),18812553
ESXi 6.7 March 2021 Patch,17700523
ESXi 6.7 March 2021 Patch (Security Only),17700514
ESXi 6.7 February 2021 Patch,17499825
ESXi 6.7 Patch 4,17167734
ESXi 6.7 Patch 4 (Security Only),17167699
ESXi 6.7 Express Patch 17,17098360
ESXi 6.7 Express Patch 16,16773714
ESXi 6.7 Patch 3,16713306
ESXi 6.7 Patch 3 (Security Only),16701467
ESXi 6.7 Express Patch 15,16316930
ESXi 6.7 Patch 2,16075168
ESXi 6.7 Patch 2 (Security Only),15999342
ESXi 6.7 Express Patch 14,15820472
ESXi 6.7 Patch 1,15160138
ESXi 6.7 Express Patch 13,15018017
ESXi 6.7 Update 3,14320388
ESXi 6.7 Update 3 (Security Only),14141615
ESXi 6.7 Express Patch 10,13981272
ESXi 6.7 Express Patch 9,13644319
ESXi 6.7 Express Patch 8,13473784
ESXi 6.7 Update 2,13006603
ESXi 6.7 Express Patch 7,13004448
ESXi 6.7 Update 2 (Security Only),12986307
ESXi 6.7 Express Patch 6,11675023
ESXi 6.7 Express Patch 5,10764712
ESXi 6.7 Update 1,10302608
ESXi 6.7 Update 1 (Security only),10176879
ESXi 6.7 Express Patch 4,10176752
ESXi 6.7 Express Patch 3,9484548
ESXi 6.7 Express Patch 2a,9214924
ESXi 6.7 Express Patch 2,8941472
ESXi 6.7 GA,8169922
ESXi 6.5 October 2021 Patch,18678235
ESXi 6.5 October 2021 Patch (Security Only),18677441
ESXi 6.5 July 2021 Patch,18071574
ESXi 6.5 February 2021 Patch,17477841
ESXi 6.5 February 2021 Patch (Security Only),17459147
ESXi 6.5 Express Patch 23,17167537
ESXi 6.5 Express Patch 22,17097218
ESXi 6.5 Express Patch 21,16901156
ESXi 6.5 Patch 5,16576891
ESXi 6.5 Patch 5 (Security Only),16576879
ESXi 6.5 Express Patch 20,16389870
ESXi 6.5 Express Patch 19,16207673
ESXi 6.5 Patch 4,15256549
ESXi 6.5 Express Patch 18,15177306
ESXi 6.5 Express Patch 17,14990892
ESXi 6.5 Express Patch 16,14874964
ESXi 6.5 Express Patch 15,14320405
ESXi 6.5 Update 3,13932383
ESXi 6.5 Update 3 (Security Only),13873656
ESXi 6.5 Express Patch 14,13635690
ESXi 6.5 Express Patch 13,13004031
ESXi 6.5 Express Patch 12,11925212
ESXi 6.5 Patch 3,10884925
ESXi 6.5 Patch 3 (Security only),10868328
ESXi 6.5 Express Patch 11,10719125
ESXi 6.5 Express Patch 10,10390116
ESXi 6.5 Express Patch 9,10175896
ESXi 6.5 U2c,9298722
ESXi 6.5 U2b,8935087
ESXi 6.5 Update 2,8294253
ESXi 6.5 Update 2 (Security only),8285314
ESXi 6.5 U1g,7967591
ESXi 6.5 U1e (Recalled),7526125
ESXi 6.5 Patch 2,7388607
ESXi 6.5 Patch 2 (Security only),7273056
ESXi 6.5 Express Patch 4,6765664
ESXi 6.5 Update 1,5969303
ESXi 6.5 Update 1 (Security only),5969300
ESXi 6.5d (vSAN 6.6 Patch),5310538
ESXi 6.5 Express Patch 1a,5224529
ESXi 6.5 Patch 1,5146846
ESXi 6.5 Patch 1 (Security Only),5146843
ESXi 6.5a,4887370
ESXi 6.5 GA,4564106
ESXi 6.0 Express Patch 25,15517548
ESXi 6.0 Express Patch 23,15169789
ESXi 6.0 Express Patch 22,15018929
ESXi 6.0 Patch 8 (Security Only),14516143
ESXi 6.0 Patch 8,14513180
ESXi 6.0 Express Patch 21,13635687
ESXi 6.0 Express Patch 20,13003896
ESXi 6.0 Express Patch 19,10719132
ESXi 6.0 Express Patch 18,10474991
ESXi 6.0 Express Patch 17,9919195
ESXi 6.0 Express Patch 15,9313334
ESXi 6.0 Patch 7,9239799
ESXi 6.0 Patch 7 (Security only),9239792
ESXi 6.0 U3f,8934903
ESXi 6.0 U3e,7967664
ESXi 6.0 U3d (Recalled),7504637
ESXi 6.0 Patch 6,6921384
ESXi 6.0 Patch 6 (Security Only),6856897
ESXi 6.0 Express Patch 11,6765062
ESXi 6.0 Update 3a (Patch 5),5572656
ESXi 6.0 Update 3a (Patch 5) (Security Only),5485776
ESXi 6.0 Update 2 (VMSA-2017-0006),5251623
ESXi 6.0 Update 1 (VMSA-2017-0006),5251621
ESXi 6.0 Express Patch 7a,5224934
ESXi 6.0 Update 3,5050593
ESXi 6.0 Update 3 (Security Only),5047589
ESXi 6.0 Patch 4,4600944
ESXi 6.0 Patch 4 (Security Only),4558694
ESXi 6.0 Express Patch 7,4510822
ESXi 6.0 Patch 3,4192238
ESXi 6.0 Patch 3 (Security Only),4179598
ESXi 6.0 Express Patch 6,3825889
ESXi 6.0 Update 2,3620759
ESXi 6.0 Update 2 (Security Only),3568943
ESXi 6.0 Express Patch 5,3568940
ESXi 6.0 Update 1b,3380124
ESXi 6.0 Update 1b (Security only),3341439
ESXi 6.0 Express Patch 4,3247720
ESXi 6.0 Update 1a,3073146
ESXi 6.0 Update 1,3029758
ESXi 6.0 Update 1 (Security only),3017641
ESXi 6.0b,2809209
ESXi 6.0b (Security Only),2809111
ESXi 6.0 Express Patch 2,2715440
ESXi 6.0 Express Patch 1,2615704
ESXi 6.0 GA,2494585
ESXi 5.5 U3k,9919047
ESXi 5.5 U3j,9313066
ESXi 5.5 U3i,8934887
ESXi 5.5 U3h,7967571
ESXi 5.5 U3h,7618464
ESXi 5.5 U3g (Recalled),7504623
ESXi 5.5 Patch 11,6480324
ESXi 5.5 Patch 11 (Security only),6480267
ESXi 5.5 Express Patch 11,5230635
ESXi 5.5 Patch 10 (Security only),4756874
ESXi 5.5 Patch 10,4722766
ESXi 5.5 Patch 9,4345813
ESXi 5.5 Patch 9 (Security only),4345810
ESXi 5.5 Patch 8,4179633
ESXi 5.5 Patch 8 (Security only),4179631
ESXi 5.5 Express Patch 10,3568722
ESXi 5.5 Express Patch 9,3343343
ESXi 5.5 Update 3b,3248547
ESXi 5.5 Update 3b (Security Only),3247226
ESXi 5.5 Update 3a,3116895
ESXi 5.5 Update 3,3029944
ESXi 5.5 Update 3 (Security Only),3029837
ESXi 5.5 Patch 5 re-release,2718055
ESXi 5.5 Patch 5 (Security Only),2702869
ESXi 5.5 Patch 5 (Recalled),2702864
ESXi 5.5 Express Patch 7,2638301
ESXi 5.5 Express Patch 6,2456374
ESXi 5.5 Patch 4,2403361
ESXi 5.5 Patch 4 (Security Only),2352327
ESXi 5.5 Express Patch 5,2302651
ESXi 5.5 Patch 3,2143827
ESXi 5.5 Patch 3 (Security Only),2093874
ESXi 5.5 Update 2,2068190
ESXi 5.5 Update 2 (Security Only),1980513
ESXi 5.5 Patch 2,1892794
ESXi 5.5 Patch 2 (Security Only),1892623
ESXi 5.5 Express Patch 4,1881737
ESXi 5.5 Express Patch 3,1746974
ESXi 5.5 Update 1a,1746018
VMware ESXi 5.5.1 Driver Rollup,1636597
ESXi 5.5 Update 1,1623387
ESXi 5.5 Update 1 (Security Only),1598313
ESXi 5.5 Patch 1,1474528
ESXi 5.5 Patch 1 (Security Only),1474526
vSAN Beta Refresh,1439689
ESXi 5.5 GA,1331820
ESXi 5.1 Patch 9,3872664
ESXi 5.1 Patch 9,3872638
ESXi 5.1 Patch 8,3070626
ESXi 5.1 Patch 8 (Security Only),3021178
ESXi 5.1 Patch 7,2583090
ESXi 5.1 Patch 7 (Security Only),2575044
ESXi 5.1 Update 3,2323236
ESXi 5.1 Update 3 (Security Only),2323231
ESXi 5.1 Patch 6,2191751
ESXi 5.1 Patch 6 (Security Only),2191354
ESXi 5.1 Patch 5,2000251
ESXi 5.1 Patch 5 (Security Only),1904929
ESXi 5.1 Express Patch 5,1900470
ESXi 5.1 Patch 4,1743533
ESXi 5.1 Patch 4 (Security Only),1743201
ESXi 5.1 Express Patch 4,1612806
ESXi 5.1 Update 2,1483097
ESXi 5.1 Update 2 (Security Only),1472666
ESXi 5.1 Patch 3 (Security Only),1312874
ESXi 5.1 Patch 3,1312873
ESXi 5.1 Patch 2,1157734
ESXi 5.1 Patch 2 (Security Only),1142907
ESXi 5.1 Express Patch 3,1117900
ESXi 5.1 Update 1,1065491
ESXi 5.1 Update 1 (Security Only),1063671
ESXi 5.1 Express Patch 2,1021289
ESXi 5.1 Patch 1,914609
ESXi 5.1 Patch 1 (Security Only),911593
ESXi 5.1a,838463
PP Hot-Patch,837262
ESXi 5.1 GA,799733
ESXi 5.0 Patch 13,3982828
ESXi 5.0 Patch 13 (Security Only),3982819
ESXi 5.0 Patch 12,3086167
ESXi 5.0 Patch 12 (Security Only),3021432
ESXi 5.0 Patch 11,2509828
ESXi 5.0 Patch 11 (Security Only),2486588
ESXi 5.0 Patch 10,2312428
ESXi 5.0 Patch 10 (Security Only),2216931
ESXi 5.0 Patch 9,2000308
ESXi 5.0 Patch 9 (Security Only),1979317
ESXi 5.0 Express Patch 6,1918656
ESXi 5.0 Patch 8,1851670
ESXi 5.0 Patch 8 (Security Only),1749766
ESXi 5.0 Patch 7,1489271
ESXi 5.0 Patch 7 (Security Only),1478905
ESXi 5.0 Update 3 (Security Only),1311177
ESXi 5.0 Update 3,1311175
ESXi 5.0 Patch 6,1254542
ESXi 5.0 Patch 6 (Security Only),1197855
ESXi 5.0 Express Patch 5,1117897
ESXi 5.0 Patch 5,1024429
ESXi 5.0 Patch 5 (Security Only),1022489
ESXi 5.0 Update 2,914586
ESXi 5.0 Update 2 (Security Only),912577
ESXi 5.0 Patch 4 (Security Only),822948
ESXi 5.0 Patch 4,821926
ESXi 5.0 Patch 3,768111
ESXi 5.0 Patch 3 (Security Only),764879
ESXi 5.0 Express Patch 4,721882
ESXi 5.0 Express Patch 3,702118
ESXi 5.0 Express Patch 2,653509
ESXi 5.0 Update 1,623860
ESXi 5.0 Update 1 (Security Only),608089
ESXi 5.0 Patch 2,515841
ESXi 5.0 Express Patch 1,504890
ESXi 5.0 Patch 1,474610
ESXi 5.0,469512
ESXi 4.1 Patch 11,1682698
ESXi 4.1 Patch 10,1363503
ESXi 4.1 Patch 9,1198252
ESXi 4.1 Patch 8,1050704
ESXi 4.1 Patch 7,988178
ESXi 4.1 Patch 6,874690
ESXi 4.1 U3,800380
ESXi 4.1 Express Patch 3,721871
ESXi 4.1 Express Patch 2,702113
ESXi 4.1 Patch 5,659051
